id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
1;Liam;36;232;21;41;164;180.5;21;2;21
2;Noah;39;220;22;42;71;128.0;22;3;22
3;Oliver;51;88;23;43;81;79.5;23;4;23
4;Elijah;39;62;24;44;106;79.0;24;1;24
5;William;34;126;25;45;61;88.5;25;5;25
6;James;30;77;26;46;142;104.5;26;4;26
7;Benjamin;46;225;27;47;126;158.0;27;3;27
8;Lucas;24;130;28;48;191;155.5;28;5;28
9;Henry;37;217;29;48;104;143.0;29;4;29
10;Alexander;44;221;30;41;143;164.5;30;2;30
11;Mason;21;200;31;44;182;173.5;31;0;31
12;Michael;31;192;32;45;149;153.0;32;2;32
13;Ethan;41;120;33;46;180;145.0;33;5;33
14;Daniel;44;109;34;46;84;91.5;34;3;34
15;Jacob;28;86;35;41;181;128.5;35;1;35
16;Logan;21;85;36;46;173;124.0;36;2;36
17;Jackson;37;155;37;41;116;130.5;37;5;37
18;Levi;29;67;38;46;83;70.0;38;2;38
19;Sebastian;33;152;39;41;88;115.0;39;5;39
20;Mateo;47;231;40;46;200;198.0;40;3;40
21;Jack;37;195;40;41;119;139.5;40;3;40
22;Owen;43;65;40;46;65;60.0;40;4;40
23;Theodore;32;216;21;41;102;141.5;21;3;21
24;Aiden;50;128;21;46;128;123.0;21;5;21
25;Samuel;39;93;21;41;64;73.5;21;3;21
26;Joseph;52;193;21;46;123;140.5;21;1;21
27;John;49;223;21;41;104;146.0;21;4;21
28;David;47;134;21;46;139;131.5;21;5;21
29;Wyatt;40;94;21;41;119;101.5;21;2;21
30;Matthew;39;67;21;41;64;60.5;21;1;21
31;Luke;26;154;21;46;82;113.0;21;5;21
32;Asher;30;143;23;46;73;103.0;23;5;23
33;Carter;45;186;23;46;191;171.0;23;0;23
34;Julian;48;111;23;41;152;126.5;23;5;23
35;Grayson;31;130;23;46;150;135.0;23;5;23
36;Leo;34;215;23;41;175;177.5;23;1;23
37;Jayden;21;61;23;46;179;115.0;23;3;23
38;Gabriel;46;67;25;41;129;93.0;25;0;25
